name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	696830	465617	1162447	0.97974
Staphylococcus argenteus	985002	S	1398	17	1415	0.00119
Staphylococcus epidermidis	1282	S	891	81	972	0.00082
Staphylococcus schweitzeri	1654388	S	802	10	812	0.00068
Staphylococcus sp. MZ9	2836367	S	145	6540	6685	0.00563
Staphylococcus sp. MZ8	2836366	S	129	1323	1452	0.00122
Staphylococcus sp. IVB6181	2929481	S	42	0	42	0.00004
Staphylococcus sp. 17KM0847	2583989	S	41	0	41	0.00003
Staphylococcus sp. FSL W8-0305	2954552	S	38	184	222	0.00019
Staphylococcus sp. MI 10-1553	1912064	S	19	0	19	0.00002
Staphylococcus sp. M0911	2025492	S	13	3	16	0.00001
Staphylococcus sp. SB1-57	2813777	S	5	1	6	0.00001
Staphylococcus sp. 11-B-312	2799680	S	4	0	4	0.00000
Staphylococcus sp. IVB6240	2989771	S	3	4	7	0.00001
Staphylococcus sp. SM3655	2807625	S	3	1328	1331	0.00112
Staphylococcus sp. MZ3	2836364	S	3	188	191	0.00016
Staphylococcus sp. NRL 22/194	3020908	S	3	4	7	0.00001
Staphylococcus sp. FSL W8-0056	2954548	S	3	63	66	0.00006
Staphylococcus sp. IVB6246	2989772	S	2	0	2	0.00000
Staphylococcus sp. NRL 16/872	2930131	S	2	1	3	0.00000
Staphylococcus sp. MZ1	2836369	S	1	213	214	0.00018
Staphylococcus sp. IVB6238	2989770	S	1	1	2	0.00000
Staphylococcus sp. IVB6233	2989769	S	1	4	5	0.00000
Staphylococcus sp. IVB6218	2989767	S	1	9	10	0.00001
Staphylococcus sp. KG4-3	3093634	S	1	2	3	0.00000
Staphylococcus sp. SM9054	2807624	S	1	2053	2054	0.00173
Staphylococcus sp. T93	2799681	S	1	35	36	0.00003
Staphylococcus sp. AntiMn-1	1715860	S	1	0	1	0.00000
Staphylococcus simiae	308354	S	618	1	619	0.00052
Staphylococcus haemolyticus	1283	S	370	5	375	0.00032
Staphylococcus hominis	1290	S	283	3	286	0.00024
Staphylococcus pasteuri	45972	S	267	3	270	0.00023
Staphylococcus capitis	29388	S	263	7	270	0.00023
Staphylococcus pseudintermedius	283734	S	169	7	176	0.00015
Staphylococcus delphini	53344	S	78	3	81	0.00007
Staphylococcus felis	46127	S	253	0	253	0.00021
Staphylococcus warneri	1292	S	238	8	246	0.00021
Staphylococcus xylosus	1288	S	204	2	206	0.00017
Staphylococcus arlettae	29378	S	146	1	147	0.00012
Staphylococcus lugdunensis	28035	S	140	0	140	0.00012
Staphylococcus saccharolyticus	33028	S	139	0	139	0.00012
Staphylococcus simulans	1286	S	128	1	129	0.00011
Staphylococcus devriesei	586733	S	127	0	127	0.00011
Staphylococcus cohnii	29382	S	113	3	116	0.00010
Staphylococcus ureilyticus	94138	S	2	0	2	0.00000
Staphylococcus edaphicus	1955013	S	112	0	112	0.00009
Staphylococcus caprae	29380	S	103	0	103	0.00009
Staphylococcus kloosii	29384	S	99	0	99	0.00008
Staphylococcus piscifermentans	70258	S	83	0	83	0.00007
Staphylococcus nepalensis	214473	S	83	0	83	0.00007
Staphylococcus saprophyticus	29385	S	83	1	84	0.00007
Staphylococcus pettenkoferi	170573	S	82	0	82	0.00007
Staphylococcus casei	201828	S	68	0	68	0.00006
Staphylococcus lutrae	155085	S	62	0	62	0.00005
Staphylococcus chromogenes	46126	S	60	0	60	0.00005
Staphylococcus lloydii	2781774	S	60	0	60	0.00005
Staphylococcus gallinarum	1293	S	55	0	55	0.00005
Staphylococcus agnetis	985762	S	47	0	47	0.00004
Staphylococcus hsinchuensis	3051183	S	45	0	45	0.00004
Staphylococcus hyicus	1284	S	42	0	42	0.00004
Staphylococcus auricularis	29379	S	38	0	38	0.00003
Staphylococcus carnosus	1281	S	37	0	37	0.00003
Staphylococcus equorum	246432	S	36	5	41	0.00003
Staphylococcus rostri	522262	S	32	0	32	0.00003
Staphylococcus shinii	2912228	S	31	0	31	0.00003
Staphylococcus schleiferi	1295	S	24	0	24	0.00002
Staphylococcus ratti	2892440	S	24	0	24	0.00002
Staphylococcus condimenti	70255	S	22	0	22	0.00002
Staphylococcus debuckii	2044912	S	21	0	21	0.00002
Staphylococcus pseudoxylosus	2282419	S	21	1	22	0.00002
Staphylococcus coagulans	74706	S	21	0	21	0.00002
Staphylococcus succinus	61015	S	20	0	20	0.00002
Staphylococcus muscae	1294	S	13	0	13	0.00001
Staphylococcus petrasii	1276936	S	2	1	3	0.00000
Staphylococcus pragensis	1611836	S	1	1	2	0.00000
Mammaliicoccus sciuri	1296	S	209	6	215	0.00018
Mammaliicoccus lentus	42858	S	9	0	9	0.00001
Mammaliicoccus vitulinus	71237	S	9	0	9	0.00001
Mammaliicoccus sp. Dog046	3034233	S	1	0	1	0.00000
Macrococcus armenti	2875764	S	2	0	2	0.00000
Macrococcus equipercicus	69967	S	1	0	1	0.00000
Macrococcus brunensis	198483	S	1	1	2	0.00000
Nosocomiicoccus ampullae	489910	S	3	2	5	0.00000
Jeotgalicoccus sp. ATCC 8456	946435	S	1	3	4	0.00000
Salinicoccus sp. Bachu38	3136731	S	2	1	3	0.00000
Macrococcoides caseolyticum	69966	S	1	0	1	0.00000
Bacillus cereus	1396	S	32	39	71	0.00006
Bacillus anthracis	1392	S	26	13	39	0.00003
Bacillus thuringiensis	1428	S	22	42	64	0.00005
Bacillus pacificus	2026187	S	3	0	3	0.00000
Bacillus pseudomycoides	64104	S	3	0	3	0.00000
Bacillus paranthracis	2026186	S	3	0	3	0.00000
Bacillus cytotoxicus	580165	S	2	0	2	0.00000
Bacillus wiedmannii	1890302	S	1	0	1	0.00000
Bacillus mycoides	1405	S	1	0	1	0.00000
Bacillus velezensis	492670	S	51	3	54	0.00005
Bacillus amyloliquefaciens	1390	S	15	7	22	0.00002
Bacillus siamensis	659243	S	10	0	10	0.00001
Bacillus subtilis	1423	S	16	6	22	0.00002
Bacillus halotolerans	260554	S	3	0	3	0.00000
Bacillus licheniformis	1402	S	2	0	2	0.00000
Bacillus inaquosorum	483913	S	1	0	1	0.00000
Bacillus sp. NSP9.1	1071078	S	3	0	3	0.00000
Bacillus sp. OxB-1	98228	S	2	0	2	0.00000
Bacillus sp. T3	467262	S	2	0	2	0.00000
Bacillus sp. KH172YL63	2709784	S	1	0	1	0.00000
Bacillus sp. ms-22	2683680	S	1	0	1	0.00000
Bacillus sp. PS68	2954716	S	1	3	4	0.00000
Bacillus sp. JNUCC-22	2842457	S	1	0	1	0.00000
Bacillus sp. 7D3	2851015	S	1	0	1	0.00000
Bacillus sp. Lzh-5	2049935	S	1	2	3	0.00000
Bacillus sp. FSL H7-0578	2921436	S	1	0	1	0.00000
Bacillus sp. Y1	352858	S	1	0	1	0.00000
Bacillus altitudinis	293387	S	4	0	4	0.00000
Bacillus carboniphilus	86663	S	3	0	3	0.00000
Bacillus fonticola	2728853	S	1	0	1	0.00000
Bacillus methanolicus	1471	S	1	0	1	0.00000
Bacillus safensis	561879	S	1	0	1	0.00000
Bacillus shivajii	1983719	S	1	0	1	0.00000
Heyndrickxia coagulans	1398	S	9	2	11	0.00001
Heyndrickxia oleronia	38875	S	1	0	1	0.00000
Lysinibacillus timonensis	2086577	S	6	0	6	0.00001
Lysinibacillus sphaericus	1421	S	2	0	2	0.00000
Lysinibacillus sp. FSL W7-1291	2954544	S	1	0	1	0.00000
Lysinibacillus sp. Ag94	2936682	S	1	0	1	0.00000
Lysinibacillus fusiformis	28031	S	1	0	1	0.00000
Lysinibacillus macroides	33935	S	1	0	1	0.00000
Psychrobacillus glaciei	2283160	S	8	1	9	0.00001
Geobacillus thermoleovorans	33941	S	3	1	4	0.00000
Geobacillus sp. C56-T3	691437	S	1	0	1	0.00000
Geobacillus sp. GHH01	1233873	S	1	0	1	0.00000
Geobacillus thermodenitrificans	33940	S	1	0	1	0.00000
Priestia megaterium	1404	S	7	1	8	0.00001
Priestia flexa	86664	S	1	0	1	0.00000
Neobacillus sp. PS3-34	3070678	S	2	1	3	0.00000
Neobacillus sp. 114	3048535	S	1	0	1	0.00000
Neobacillus sp. PS3-12	3070677	S	1	0	1	0.00000
Neobacillus mesonae	1193713	S	1	0	1	0.00000
Radiobacillus deserti	2594883	S	6	0	6	0.00001
Peribacillus frigoritolerans	450367	S	4	1	5	0.00000
Peribacillus muralis	264697	S	1	0	1	0.00000
Lentibacillus sp. CBA3610	2518176	S	4	0	4	0.00000
Oceanobacillus iheyensis	182710	S	1	0	1	0.00000
Oceanobacillus jeddahense	1462527	S	1	0	1	0.00000
Oceanobacillus sp. FSL K6-3682	2921503	S	1	0	1	0.00000
Rossellomorea marisflavi	189381	S	2	0	2	0.00000
Rossellomorea vietnamensis	218284	S	2	0	2	0.00000
Mesobacillus foraminis	279826	S	4	0	4	0.00000
Paraliobacillus zengyii	2213194	S	3	0	3	0.00000
Halobacillus salinarum	2932257	S	1	0	1	0.00000
Halobacillus amylolyticus	2932259	S	1	0	1	0.00000
Fictibacillus phosphorivorans	1221500	S	2	0	2	0.00000
Parageobacillus caldoxylosilyticus	81408	S	2	0	2	0.00000
Niallia oryzisoli	1737571	S	1	0	1	0.00000
Niallia sp. XMNu-256	3082444	S	1	0	1	0.00000
Metabacillus halosaccharovorans	930124	S	1	0	1	0.00000
Metabacillus sp. cB07	2806989	S	1	0	1	0.00000
Gracilibacillus salitolerans	2663022	S	2	0	2	0.00000
Cytobacillus pseudoceanisediminis	3051614	S	1	0	1	0.00000
Ectobacillus sp. JY-23	2933872	S	1	0	1	0.00000
Gottfriedia acidiceleris	371036	S	1	0	1	0.00000
Salipaludibacillus sp. LMS25	2924031	S	1	0	1	0.00000
Anaerobacillus isosaccharinicus	1532552	S	1	0	1	0.00000
Caldalkalibacillus thermarum	296745	S	1	0	1	0.00000
Caldifermentibacillus hisashii	996558	S	1	0	1	0.00000
Virgibacillus sp. NKC19-16	2831673	S	1	0	1	0.00000
Paenibacillus polymyxa	1406	S	7	1	8	0.00001
Paenibacillus sp. FSL R5-0701	2921654	S	2	0	2	0.00000
Paenibacillus sp. FSL R7-0163	2954530	S	1	1	2	0.00000
Paenibacillus sp. RC67	3039392	S	1	0	1	0.00000
Paenibacillus physcomitrellae	1619311	S	2	0	2	0.00000
Paenibacillus algicola	2565926	S	1	0	1	0.00000
Paenibacillus macerans	44252	S	1	0	1	0.00000
Paenibacillus hexagrammi	2908839	S	1	0	1	0.00000
Brevibacillus brevis	1393	S	2	0	2	0.00000
Brevibacillus laterosporus	1465	S	1	0	1	0.00000
Brevibacillus sp. NSP2.1	3003229	S	1	0	1	0.00000
Sporosarcina sp. Marseille-Q4943	2942204	S	2	1	3	0.00000
Sporosarcina sp. Te-1	2818390	S	1	0	1	0.00000
Sporosarcina thermotolerans	633404	S	1	0	1	0.00000
Sporosarcina trichiuri	3056445	S	1	0	1	0.00000
Solibacillus silvestris	76853	S	6	1	7	0.00001
Planococcus lenghuensis	2213202	S	2	0	2	0.00000
Planococcus maritimus	192421	S	1	0	1	0.00000
Planococcus sp. MB-3u-03	2058136	S	1	0	1	0.00000
Planococcus plakortidis	1038856	S	1	0	1	0.00000
Kurthia sp. YJT4	3049086	S	1	0	1	0.00000
Listeria monocytogenes	1639	S	16	8	24	0.00002
Listeria innocua	1642	S	3	0	3	0.00000
Listeria grayi	1641	S	1	0	1	0.00000
Brochothrix thermosphacta	2756	S	1	0	1	0.00000
Kroppenstedtia eburnea	714067	S	4	0	4	0.00000
Thermoactinomyces vulgaris	2026	S	2	0	2	0.00000
Laceyella sacchari	37482	S	2	0	2	0.00000
Novibacillus thermophilus	1471761	S	1	0	1	0.00000
Fodinisporobacter ferrooxydans	2901836	S	1	2	3	0.00000
Pullulanibacillus sp. KACC 23026	3028315	S	1	0	1	0.00000
Hydrogenibacillus sp. N12	2866627	S	1	0	1	0.00000
Exiguobacterium sp. S3-2	1389960	S	1	0	1	0.00000
Gemella haemolysans	1379	S	1	1	2	0.00000
Abyssicoccus albus	1817405	S	1	0	1	0.00000
Enterococcus faecium	1352	S	406	82	488	0.00041
Enterococcus faecalis	1351	S	33	3	36	0.00003
Enterococcus sp. ZQ21	3044568	S	2	7	9	0.00001
Enterococcus sp. LX10	2920934	S	1	0	1	0.00000
Enterococcus sp. M190262	2582830	S	1	0	1	0.00000
Enterococcus cecorum	44008	S	4	0	4	0.00000
Enterococcus hirae	1354	S	3	0	3	0.00000
Enterococcus durans	53345	S	3	0	3	0.00000
Enterococcus raffinosus	71452	S	2	0	2	0.00000
Enterococcus mundtii	53346	S	2	0	2	0.00000
Enterococcus avium	33945	S	2	0	2	0.00000
Enterococcus saccharolyticus	41997	S	1	0	1	0.00000
Enterococcus casseliflavus	37734	S	1	0	1	0.00000
Enterococcus gilvus	160453	S	1	0	1	0.00000
Enterococcus saigonensis	1805431	S	1	0	1	0.00000
Enterococcus gallinarum	1353	S	1	0	1	0.00000
Vagococcus fluvialis	2738	S	1	1	2	0.00000
Vagococcus hydrophili	2714947	S	1	1	2	0.00000
Streptococcus agalactiae	1311	S	100	14	114	0.00010
Streptococcus suis	1307	S	8	0	8	0.00001
Streptococcus infantis	68892	S	8	0	8	0.00001
Streptococcus parasuis	1501662	S	7	0	7	0.00001
Streptococcus thermophilus	1308	S	7	0	7	0.00001
Streptococcus pyogenes	1314	S	5	0	5	0.00000
Streptococcus iniae	1346	S	5	0	5	0.00000
Streptococcus dysgalactiae	1334	S	4	0	4	0.00000
Streptococcus pluranimalium	82348	S	4	0	4	0.00000
Streptococcus pneumoniae	1313	S	4	4	8	0.00001
Streptococcus parauberis	1348	S	4	0	4	0.00000
Streptococcus oralis	1303	S	2	0	2	0.00000
Streptococcus constellatus	76860	S	1	0	1	0.00000
Streptococcus pasteurianus	197614	S	1	0	1	0.00000
Streptococcus macedonicus	59310	S	1	0	1	0.00000
Streptococcus alactolyticus	29389	S	1	0	1	0.00000
Streptococcus porcinus	1340	S	1	0	1	0.00000
Streptococcus equinus	1335	S	1	0	1	0.00000
Streptococcus sanguinis	1305	S	1	0	1	0.00000
Streptococcus parasanguinis	1318	S	1	0	1	0.00000
Streptococcus sobrinus	1310	S	1	0	1	0.00000
Lactococcus raffinolactis	1366	S	4	0	4	0.00000
Lactococcus lactis	1358	S	3	3	6	0.00001
Lactococcus sp.	44273	S	2	11	13	0.00001
Lactococcus sp. LG606	2816912	S	1	0	1	0.00000
Lactococcus taiwanensis	1151742	S	2	0	2	0.00000
Lactococcus garvieae	1363	S	1	0	1	0.00000
Lactococcus piscium	1364	S	1	0	1	0.00000
Lactococcus petauri	1940789	S	1	0	1	0.00000
Lactobacillus acidophilus	1579	S	5	6	11	0.00001
Lactobacillus amylovorus	1604	S	2	0	2	0.00000
