name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	160856	1006237	1167093	0.89414
Staphylococcus argenteus	985002	S	2826	146	2972	0.00228
Staphylococcus schweitzeri	1654388	S	1695	98	1793	0.00137
Staphylococcus sp. MZ8	2836366	S	203	9434	9637	0.00738
Staphylococcus sp. MZ9	2836367	S	176	36122	36298	0.02781
Staphylococcus sp. IVB6181	2929481	S	66	1	67	0.00005
Staphylococcus sp. 17KM0847	2583989	S	48	0	48	0.00004
Staphylococcus sp. FSL W8-0305	2954552	S	42	949	991	0.00076
Staphylococcus sp. MI 10-1553	1912064	S	28	0	28	0.00002
Staphylococcus sp. IVB6233	2989769	S	23	123	146	0.00011
Staphylococcus sp. FSL W8-0056	2954548	S	16	1568	1584	0.00121
Staphylococcus sp. NRL 16/872	2930131	S	13	15	28	0.00002
Staphylococcus sp. 11-B-312	2799680	S	8	3	11	0.00001
Staphylococcus sp. NRL 22/194	3020908	S	6	9	15	0.00001
Staphylococcus sp. SM9054	2807624	S	6	57127	57133	0.04377
Staphylococcus sp. M0911	2025492	S	6	6	12	0.00001
Staphylococcus sp. SB1-57	2813777	S	5	7	12	0.00001
Staphylococcus sp. IVB6238	2989770	S	5	6	11	0.00001
Staphylococcus sp. MZ3	2836364	S	4	1144	1148	0.00088
Staphylococcus sp. MZ7	2836365	S	4	1038	1042	0.00080
Staphylococcus sp. IVB6240	2989771	S	3	5	8	0.00001
Staphylococcus sp. MZ1	2836369	S	3	2903	2906	0.00223
Staphylococcus sp. AntiMn-1	1715860	S	3	12	15	0.00001
Staphylococcus sp. IVB6246	2989772	S	2	1	3	0.00000
Staphylococcus sp. KG4-3	3093634	S	2	19	21	0.00002
Staphylococcus sp. SM3655	2807625	S	2	4107	4109	0.00315
Staphylococcus sp. T93	2799681	S	2	330	332	0.00025
Staphylococcus sp. IVB6218	2989767	S	1	11	12	0.00001
Staphylococcus sp. IVB6227	2989768	S	1	1	2	0.00000
Staphylococcus sp. IVB6214	2989766	S	1	1	2	0.00000
Staphylococcus sp. HL28	2897335	S	1	10	11	0.00001
Staphylococcus simiae	308354	S	950	5	955	0.00073
Staphylococcus epidermidis	1282	S	633	31	664	0.00051
Staphylococcus haemolyticus	1283	S	542	26	568	0.00044
Staphylococcus capitis	29388	S	414	31	445	0.00034
Staphylococcus hominis	1290	S	328	13	341	0.00026
Staphylococcus pasteuri	45972	S	304	6	310	0.00024
Staphylococcus arlettae	29378	S	288	7	295	0.00023
Staphylococcus pseudintermedius	283734	S	201	12	213	0.00016
Staphylococcus delphini	53344	S	65	4	69	0.00005
Staphylococcus equorum	246432	S	270	189	459	0.00035
Staphylococcus saccharolyticus	33028	S	249	2	251	0.00019
Staphylococcus lugdunensis	28035	S	233	3	236	0.00018
Staphylococcus warneri	1292	S	207	31	238	0.00018
Staphylococcus simulans	1286	S	192	3	195	0.00015
Staphylococcus edaphicus	1955013	S	186	1	187	0.00014
Staphylococcus felis	46127	S	180	1	181	0.00014
Staphylococcus caprae	29380	S	173	5	178	0.00014
Staphylococcus devriesei	586733	S	166	2	168	0.00013
Staphylococcus xylosus	1288	S	154	5	159	0.00012
Staphylococcus agnetis	985762	S	148	4	152	0.00012
Staphylococcus carnosus	1281	S	141	3	144	0.00011
Staphylococcus hsinchuensis	3051183	S	136	4	140	0.00011
Staphylococcus kloosii	29384	S	117	1	118	0.00009
Staphylococcus saprophyticus	29385	S	112	4	116	0.00009
Staphylococcus gallinarum	1293	S	111	0	111	0.00009
Staphylococcus debuckii	2044912	S	105	3	108	0.00008
Staphylococcus lutrae	155085	S	105	1	106	0.00008
Staphylococcus lloydii	2781774	S	97	1	98	0.00008
Staphylococcus cohnii	29382	S	87	6	93	0.00007
Staphylococcus ureilyticus	94138	S	7	2	9	0.00001
Staphylococcus nepalensis	214473	S	95	1	96	0.00007
Staphylococcus piscifermentans	70258	S	95	2	97	0.00007
Staphylococcus casei	201828	S	85	4	89	0.00007
Staphylococcus auricularis	29379	S	85	0	85	0.00007
Staphylococcus pettenkoferi	170573	S	84	0	84	0.00006
Staphylococcus chromogenes	46126	S	84	2	86	0.00007
Staphylococcus hyicus	1284	S	62	2	64	0.00005
Staphylococcus ratti	2892440	S	51	0	51	0.00004
Staphylococcus condimenti	70255	S	50	1	51	0.00004
Staphylococcus rostri	522262	S	50	2	52	0.00004
Staphylococcus muscae	1294	S	43	0	43	0.00003
Staphylococcus shinii	2912228	S	41	1	42	0.00003
Staphylococcus pseudoxylosus	2282419	S	38	9	47	0.00004
Staphylococcus succinus	61015	S	33	1	34	0.00003
Staphylococcus coagulans	74706	S	28	0	28	0.00002
Staphylococcus schleiferi	1295	S	25	0	25	0.00002
Staphylococcus petrasii	1276936	S	1	1	2	0.00000
Mammaliicoccus vitulinus	71237	S	30	2	32	0.00002
Mammaliicoccus sciuri	1296	S	29	1	30	0.00002
Mammaliicoccus lentus	42858	S	5	0	5	0.00000
Mammaliicoccus sp. Dog046	3034233	S	2	0	2	0.00000
Mammaliicoccus sp. Marseille-Q6498	2962659	S	1	0	1	0.00000
Mammaliicoccus stepanovicii	643214	S	1	0	1	0.00000
Macrococcoides canis	1855823	S	4	0	4	0.00000
Macrococcoides caseolyticum	69966	S	2	0	2	0.00000
Macrococcoides bohemicum	1903056	S	1	0	1	0.00000
Jeotgalicoccus sp. ATCC 8456	946435	S	1	0	1	0.00000
Jeotgalicoccus sp. WY2	2708346	S	1	3	4	0.00000
Salinicoccus sp. Bachu38	3136731	S	1	3	4	0.00000
Macrococcus epidermidis	1902580	S	1	0	1	0.00000
Macrococcus sp. IME1552	1898474	S	1	2	3	0.00000
Macrococcus armenti	2875764	S	1	0	1	0.00000
Bacillus velezensis	492670	S	36	4	40	0.00003
Bacillus amyloliquefaciens	1390	S	14	9	23	0.00002
Bacillus siamensis	659243	S	7	0	7	0.00001
Bacillus subtilis	1423	S	13	28	41	0.00003
Bacillus paralicheniformis	1648923	S	2	0	2	0.00000
Bacillus licheniformis	1402	S	1	0	1	0.00000
Bacillus atrophaeus	1452	S	1	20	21	0.00002
Bacillus vallismortis	72361	S	1	0	1	0.00000
Bacillus halotolerans	260554	S	1	0	1	0.00000
Bacillus cereus	1396	S	23	36	59	0.00005
Bacillus anthracis	1392	S	23	38	61	0.00005
Bacillus thuringiensis	1428	S	16	3	19	0.00001
Bacillus mycoides	1405	S	3	0	3	0.00000
Bacillus pacificus	2026187	S	3	0	3	0.00000
Bacillus wiedmannii	1890302	S	2	0	2	0.00000
Bacillus sp. ABP14	1892404	S	1	0	1	0.00000
Bacillus paramobilis	2817477	S	1	0	1	0.00000
Bacillus sp. 7D3	2851015	S	5	2	7	0.00001
Bacillus sp. KH172YL63	2709784	S	3	0	3	0.00000
Bacillus sp. CRB-7	2874284	S	3	0	3	0.00000
Bacillus sp. PS68	2954716	S	2	19	21	0.00002
Bacillus sp. ZY-1-1	2093834	S	2	0	2	0.00000
Bacillus sp. SI2	3077323	S	2	0	2	0.00000
Bacillus sp. OxB-1	98228	S	1	0	1	0.00000
Bacillus sp. THAF10	2587848	S	1	0	1	0.00000
Bacillus sp. JNUCC-22	2842457	S	1	0	1	0.00000
Bacillus sp. Lzh-5	2049935	S	1	5	6	0.00000
Bacillus sp. LJBS17	2859227	S	1	0	1	0.00000
Bacillus sp. T3	467262	S	1	0	1	0.00000
Bacillus altitudinis	293387	S	4	0	4	0.00000
Bacillus carboniphilus	86663	S	2	0	2	0.00000
